title,org,deadline,fee,category,description,url,instagram,location,prize,eligibility,submitVia,requirements,jury,resultsDate,ai,slug,orgInTitle,dateAdded
Night Aesthetics,Fotografiska,2026-04-30,Free,photography,"Open call exploring the visual world of the night. Looking for works that engage with light, movement, atmosphere, intimacy, and the energy that appears when the day lets go. Whether captured on a crowded dance floor, in a quiet street, or somewhere in between. Welcomes lens-based photography in all forms including analog and digital. Three winners each receive €2,500 and feature on the Fotografiska Emerging platform. In partnership with Jägermeister.",https://emerging.fotografiska.com/missions/night-aesthetics,@fotografiska.emerging,Online,"€2,500",,Fotografiska Emerging,1 image,"Atiba Jefferson, Photographer & Canon Ambassador; Karl Hab, Photographer; Julia Schoierer, Photographer","May 20, 2026",Not accepted,night-aesthetics-fotografiska,false,2026-03-23
The 2026 Lumen Prize,Lumen Prize,2026-05-23,$45,exhibition,"Leading international award for art created with technology, now in its 15th year. Three categories: Legacy Futures, Systems & Structures, and Experiential Innovation, each with a $5,000 prize. The Jury also selects one Gold Award Winner receiving $15,000. Works may include film, photography, AI-generated art, interactive installations, VR experiences, and more. Finalists announced August, winners announced November. Awards ceremony at Kunstsilo Museum in Norway.",https://zealous.co/lumenprize/opportunity/the-2026-lumen-prize/,@lumen_prize,"New York, NY, USA","$30,000",,Zealous,1 primary + up to 3 supporting images,"Melanie Lenz, Digital Curator, V&A Museum; Rachel Falconer, Senior Lecturer & Head of Digital Arts Computing, Goldsmiths University London; Myriam Achard, Chief New Media Partnerships & PR, PHI; Christiane Paul, Adjunct Curator Digital Art, Whitney Museum; Annie Bicknell, Curator Public Programmes, Tate",,Accepted,the-2026-lumen-prize,true,2026-03-23
Nest — Group Exhibition,Fringe Arts Bath,2026-04-10,Free,exhibition,"Group exhibition exploring how creative practice nurtures wellbeing, inspires reflection, or aids recovery. Open call for art created in response to lived experience of mental health, disability, or health journey. All mediums welcome including photography, painting, film, sculpture, ceramics, poetry, and installation. Curated by photographic artist Livvy Eden. Exhibition runs 22 May – 6 June 2026 at 103 Walcot Street, Bath. Selected artists asked for £25 participation donation.",https://www.fringeartsbath.co.uk/nest,@fringeartsbath,"Bath, United Kingdom",,,Email,Max 200-word description + images or links to work,"Livvy Eden, Curator & Photographic Artist","May 22, 2026",Accepted (must disclose),nest-group-exhibition-fringe-arts-bath,false,2026-03-23
Michael P. Smith Fund for Documentary Photography 2025,New Orleans Photo Alliance,2026-05-04,$25,grant,"Annual grant honoring legendary New Orleans documentary photographer Michael P. Smith. Awards cash prizes and exhibition opportunities to Gulf Coast photographers whose work combines artistic excellence and a sustained commitment to a cultural documentary project. Open to photographers residing in Gulf Coast states: Texas, Louisiana, Mississippi, Alabama, Georgia, and Florida. Subject matter not limited to Gulf Coast region.",https://neworleansphotoalliance.org/michael-p-smith-fund-for-documentary-photography/,@photoalliance,"New Orleans, Louisiana, USA","$3,000 + exhibition",united-states,CaFE,10–20 images,,,,michael-p-smith-fund-for-documentary-photography-2025-new-orleans-photo-alliance,false,2026-03-23
Love & Romance Show,Blue Sky Gallery,2026-04-17,Free,exhibition,"Online exhibition exploring how love has transformed alongside cultural and societal changes, and how those shifts shape personal experience today. Submit up to 3 images connecting the theme of love and romance. Virtual exhibition launches May 7, 2026.",https://www.blueskygallery.org/news/the-love-and-romance-show-call-for-entry,@blueskygallerypdx,Online,,,Google Form,Up to 3 images,,"May 7, 2026",,love-romance-show-blue-sky-gallery,false,2026-03-22
EDITION 502 — Open Call for Photo Edition,EDITION 502,2026-04-30,Free,zine,"Open call for an independent 6×9 photo edition of 12 small photographs. EDITION 502 covers all design, production, and distribution costs. Author receives a percentage of sales. Looking for authors with a clear visual language and comprehensible concept, regardless of education or professional background. Submit 12 photographs with serial character, a cover sheet, and a text (max 2,400 characters).",https://edition-fuenf-null-zwei.org/,@edition.502,Online,Publication,,Email,12 images,,,,edition-502-open-call-for-photo-edition,true,2026-03-22
Texture of Light,Pro Photo DC,2026-04-01,Free,exhibition,"Photography exhibition exploring light as a tactile, physical medium. Submit images where light feels like a material — surface tension on objects, atmospheric mass in fog or dust, architecture of shadow, or abstract luminescence through long exposures and macro work. Selected images will be printed and displayed matted and framed at Western Market in Washington, DC. Exhibition opens May 2, 2026.",https://forms.gle/Cd9K572sL2e5Lpir9,@prophotodc,"Washington, DC, USA",,,Google Form,"Up to 3 images, high-res JPEG 300 dpi, min 12×12 in print size",,,,texture-of-light-pro-photo-dc,false,2026-03-22
Anja Niedringhaus Courage in Photojournalism Award 2026,International Women's Media Foundation,2026-03-31,Free,grant,"Award honoring courageous, high-impact photojournalism by women, nonbinary, and gender-diverse creatives. Submit 12 photographs (6 from 2024–2026, 6 from broader career) plus a 500-word statement. Open to women, nonbinary, and gender non-conforming photojournalists working full-time in journalism. Self-nomination or third-party nomination accepted. Named after Pulitzer Prize-winning photographer Anja Niedringhaus (1965–2014).",https://site.picter.com/2026-iwmf-anja-niedringhaus-award,@theiwmf,Online,"$20,000",women,Picter,12 images,"Corinne Dufka, Independent Researcher/Advisor; Whitney Johnson, President & CEO, Catalina Island Conservancy; Brent Lewis, Photo Editor, The New York Times; Enric Marti, Deputy Director of Photography, Associated Press; Benny Snyder, Photo Editor & Contest Coordinator, Associated Press; Sandra M. Stevenson, Deputy Director of Photography, The Washington Post; Bernadette Tuazon, Director of Photography, CNN Digital",May 2026,,anja-niedringhaus-courage-in-photojournalism-award-2026-international-women-s-media-foundation,false,2026-03-18
LT5 Alternative Photography Show,KALEID Gallery,2026-04-12,Free,exhibition,"Open call for photographers working in alternative photography — including toy and plastic cameras, Polaroid, pinhole, photograms, and other alternative processes. Submit up to 2 works for exhibition at KALEID Gallery in San Jose, CA. Opening reception May 1 during South First Fridays Art Walk. Exhibition runs May 1–29, 2026. Contact curator via DM or email for submission details.",https://www.instagram.com/kaleidgallery/,@kaleidgallery,"San Jose, CA, USA",,,Email,Up to 2 images,"Robertino Ragazza, Curator","April 15, 2026",,lt5-alternative-photography-show-kaleid-gallery,false,2026-03-21
Artphilein Open Call 2026,De Pietri Artphilein Foundation,2026-04-15,Free,exhibition,"Open call for photographers exploring adolescence from an internal perspective — digital culture, identity negotiation, and contemporary pressures experienced by young people. Submit a single PDF with 10–20 images. Winner receives a solo exhibition at Artphilein Library in Autumn 2026, publication in Artphilein Dossier, and CHF 1,000 cash award.",https://artphilein.org/foundation/projects/artphilein-open-call-2026,@artphilein__foundation,"Lugano, Switzerland","CHF 1,000",,Google Form,10–20 images,"Caterina De Pietri, Curator, Artphilein Foundation","April 30, 2026",,artphilein-open-call-2026,true,2026-03-18
