"Name","Prizes","Requirements"
"Manipulation & Illusion","Online exhibition on Co-Ex Collaborative platform","Via website portal + artist statement"
"Epson International Pano Awards 2026","$4,000 Open 1st + $3,000 Amateur 1st + $1,500 VR 1st + Epson gear + Swiss Alps trip","Panoramic images (2:1+ aspect ratio), per-image entry"
"REMEDY Photo Festival — Open Call 2026","Exhibition (printing and promotion covered)","6–10 images (JPEG, 3000px, sRGB)"
"SQUARE Photography Exhibit","Exhibition at Decode Gallery, 3 months (museum-quality prints on Ilford Pearl, framing provided)","Up to 10 square-format images"
"Cumberland Valley Photographers 2026","Exhibition at Washington County Museum of Fine Arts",""
"UNSTAGED Journal — Issue 02: Eerie","Publication (print)","5–10 images"
"Canon Female Photojournalist Grant 2026","€8,000 grant + exhibition at Visa pour l'Image","Documentary photography project"
"A Black Perspective: Celebrating the Voice & Vision","Exhibition at PhotoSC, Columbia, SC","Up to 5 prints"
"ANIMAL LIFE","Exhibition + Directors's Choice award + 5 Honorable Mentions","5–10 images"
"FFSP 2026 — Italian Photographers Open Call","Exhibition at Italian Cultural Institute, São Paulo","1–5 images"
"Delfina Foundation — Latin America & Caribbean Residency 2026","Fully funded 12-week residency","Application via Cognito Forms"
"MACK — Debut Photography Book Submissions","Publication by MACK Books (one of world's leading photobook publishers)","PDF draft sequence (debut artists only, May window)"
"MACK — Photography Submissions","Publication by MACK Books (one of world's leading photobook publishers)","PDF draft sequence (June window)"
"Graz Residency for International Photographers (GRIP) 2026","€1,000 stipend + apartment + travel + exhibition","Portfolio PDF + statement"
"Hidden Narratives Residency 2026","£1,500 artist fee + travel + accommodation + production costs + exhibition","1 PDF (5–10 images) + statement"
"Marilyn Stafford FotoReportage Award 2026","£4,000 grant (Nikon-supported) + exhibition at POST Hove + Honourable Mentions","10 + 15 images (current + finished project)"
"Inge Morath Award 2026","$7,500 winner + $1,000 finalist grant","Long-term documentary project"
"Women in Nature — Artist's Commission","€15,000 commission + exhibition + publication","10–20 images"
"Home","Exhibition at United Nations HQ, New York","Up to 3 images"
"Exibart Street Photography Contest — 5th Edition","Leica Q3 (best series) + Xiaomi 17 Ultra (best single) + interviews on Exibart Street","Series: 3–9 images | Single: 1 image"
"RESTART2026","Group exhibition (10 finalists) + solo exhibition next year (top 3) + catalogue","10–20 images (created after 2021, never fully exhibited)"
"DPPF 2026 Sports Photography Grants","7 × $5,000 grants + 3 × $2,500 development grants + trip to Gathering + mentorships","20 images (2022+, 15 from 2024+)"
"Bowness Photography Prize 2026","$50,000 winner + $10,000 Commissioning Award + $5,000 People's Choice + 2 × $2,500 Honourable Mentions + museum acquisition","Up to 3 images (produced within last year)"
"Flanelle Print No. 47 — July 2026","Publication in Flanelle Magazine (quarterly print + digital, 6 pages per editorial)","10+ images"
